property_id,account_number,address,city,postcode,state,label
PROP-40000057,A-10000057,4931 Lake Dr,Houston,77002,TX,Main property - Houston
PROP-40000058,A-10000058,1199 Maple Ave,Houston,77019,TX,Main property - Houston
PROP-40000059,A-10000059,5861 Maple Ave,Dallas,75201,TX,Main property - Dallas
PROP-40000060,A-10000060,574 Pine Blvd,Dallas,75202,TX,Main property - Dallas
PROP-40000061,A-10000061,5414 Hill Rd,Austin,78701,TX,Main property - Austin
PROP-40000062,A-10000062,844 Cedar Dr,Austin,78702,TX,Main property - Austin
PROP-40000063,A-10000063,1280 River Rd,San Antonio,78201,TX,Main property - San Antonio
PROP-40000064,A-10000064,4086 River Rd,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000065,A-10000065,4293 Cedar Dr,El Paso,79901,TX,Main property - El Paso
PROP-40000066,A-10000066,7345 Elm Ln,Arlington,76010,TX,Main property - Arlington
PROP-40000067,A-10000067,7468 Hill Rd,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000068,A-10000068,6447 River Rd,Plano,75023,TX,Main property - Plano
PROP-40000069,A-10000069,2212 Hill Rd,Lubbock,79401,TX,Main property - Lubbock
PROP-40000070,A-10000070,5698 Lake Dr,Houston,77001,TX,Main property - Houston
PROP-40000071,A-10000071,7270 Oak St,Houston,77002,TX,Main property - Houston
PROP-40000072,A-10000072,6356 Park Ave,Houston,77019,TX,Main property - Houston
PROP-40000073,A-10000073,7461 Park Ave,Dallas,75201,TX,Main property - Dallas
PROP-40000074,A-10000074,2492 Pine Blvd,Dallas,75202,TX,Main property - Dallas
PROP-40000075,A-10000075,882 Cedar Dr,Austin,78701,TX,Main property - Austin
PROP-40000076,A-10000076,8718 Park Ave,Austin,78702,TX,Main property - Austin
PROP-40000077,A-10000077,9045 Main St,San Antonio,78201,TX,Main property - San Antonio
PROP-40000078,A-10000078,7856 Elm Ln,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000079,A-10000079,1453 River Rd,El Paso,79901,TX,Main property - El Paso
PROP-40000080,A-10000080,1039 Maple Ave,Arlington,76010,TX,Main property - Arlington
PROP-40000081,A-10000081,6177 Main St,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000082,A-10000082,4778 Lake Dr,Plano,75023,TX,Main property - Plano
PROP-40000083,A-10000083,6022 Park Ave,Lubbock,79401,TX,Main property - Lubbock
PROP-40000084,A-10000084,9519 Maple Ave,Houston,77001,TX,Main property - Houston
PROP-40000085,A-10000085,2797 Pine Blvd,Houston,77002,TX,Main property - Houston
PROP-40000086,A-10000086,9334 Oak St,Houston,77019,TX,Main property - Houston
PROP-40000087,A-10000087,2689 Lake Dr,Dallas,75201,TX,Main property - Dallas
PROP-40000088,A-10000088,4482 Lake Dr,Dallas,75202,TX,Main property - Dallas
PROP-40000089,A-10000089,479 Maple Ave,Austin,78701,TX,Main property - Austin
PROP-40000090,A-10000090,6706 Main St,Austin,78702,TX,Main property - Austin
PROP-40000091,A-10000091,9239 Main St,San Antonio,78201,TX,Main property - San Antonio
PROP-40000092,A-10000092,9827 Main St,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000093,A-10000093,941 Hill Rd,El Paso,79901,TX,Main property - El Paso
PROP-40000094,A-10000094,1120 Pine Blvd,Arlington,76010,TX,Main property - Arlington
PROP-40000095,A-10000095,4138 Elm Ln,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000096,A-10000096,4858 Oak St,Plano,75023,TX,Main property - Plano
PROP-40000097,A-10000097,3914 Oak St,Lubbock,79401,TX,Main property - Lubbock
PROP-40000098,A-10000098,9506 Cedar Dr,Houston,77001,TX,Main property - Houston
PROP-40000099,A-10000099,9001 Park Ave,Houston,77002,TX,Main property - Houston
